"Mobility; per person, modes of travel, purposes of travel and regions"
"Population: Population 6 years or older"
"Margins: Value"
"";""
"";"Topic";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   "
"Travel to/from work, (non)-daily commute";"Total";"0.55";"0.50";"0.37";"0.37";"0.55";"0.49";"0.31";"0.30";"0.55";"0.50";"0.36";"0.37";"0.54";"0.52";"0.41";"0.38";"0.56";"0.51";"0.41";"0.42";"0.55";"0.52";"0.39";"0.43";"10.55";"9.72";"6.16";"6.13";"9.65";"8.44";"4.69";"4.48";"10.67";"9.71";"6.28";"6.05";"10.52";"10.42";"6.43";"6.31";"11.17";"10.01";"7.04";"7.38";"11.18";"11.55";"7.43";"8.15";"200";"184";"135";"135";"200";"179";"113";"111";"199";"184";"133";"136";"199";"190";"149";"138";"204";"185";"151";"153";"200";"192";"144";"157";"3852";"3549";"2254";"2237";"3523";"3082";"1716";"1634";"3896";"3543";"2300";"2209";"3841";"3804";"2354";"2304";"4078";"3654";"2576";"2693";"4080";"4216";"2719";"2973"
"Travel to/from work, (non)-daily commute";"Passenger car (driver)";"0.27";"0.25";"0.19";"0.19";"0.18";"0.16";"0.12";"0.12";"0.27";"0.24";"0.19";"0.19";"0.30";"0.28";"0.22";"0.21";"0.32";"0.29";"0.25";"0.24";"0.32";"0.32";"0.23";"0.26";"6.79";"6.20";"4.37";"4.33";"4.74";"4.08";"2.74";"2.57";"7.03";"6.04";"4.40";"4.33";"6.98";"7.16";"4.70";"4.63";"8.11";"7.32";"5.57";"5.47";"8.02";"8.38";"5.57";"6.43";"99";"90";"70";"69";"67";"60";"43";"42";"99";"88";"68";"70";"109";"103";"81";"75";"118";"106";"93";"89";"119";"117";"82";"93";"2477";"2263";"1601";"1580";"1729";"1488";"1003";"939";"2565";"2203";"1611";"1582";"2550";"2614";"1721";"1688";"2961";"2674";"2040";"1998";"2929";"3059";"2040";"2348"
"Travel to/from work, (non)-daily commute";"Passenger car (passenger)";"0.02";"0.01";"0.01";"0.01";"0.02";"0.01";"0.01";"0.01";"0.02";"0.01";"0.01";"0.01";"0.02";"0.02";"0.01";"0.01";"0.02";"0.02";"0.01";"0.02";"0.02";".";".";".";"0.41";"0.38";"0.21";"0.23";"0.36";"0.26";"0.21";"0.19";"0.38";"0.34";"0.21";"0.22";"0.40";"0.46";"0.24";"0.21";"0.50";"0.34";"0.15";"0.35";"0.45";".";".";".";"7";"5";"4";"5";"6";"4";"3";"3";"7";"5";"5";"5";"7";"6";"4";"4";"6";"6";"4";"6";"8";".";".";".";"150";"137";"77";"86";"130";"93";"78";"68";"140";"124";"77";"79";"147";"168";"86";"77";"183";"124";"55";"129";"163";".";".";"."
"Travel to/from work, (non)-daily commute";"Train";"0.03";"0.03";"0.01";"0.01";"0.06";"0.06";"0.02";"0.02";"0.03";"0.04";"0.02";"0.01";"0.03";"0.03";"0.01";".";"0.01";"0.01";".";".";".";".";".";".";"1.33";"1.35";"0.50";"0.36";"2.39";"2.22";"0.66";"0.68";"1.44";"1.63";"0.67";"0.36";"1.18";"0.99";"0.45";".";"0.45";"0.54";".";".";".";".";".";".";"12";"12";"5";"4";"22";"21";"7";"6";"12";"13";"6";"4";"11";"9";"4";".";"4";"5";".";".";".";".";".";".";"485";"491";"182";"133";"872";"812";"242";"247";"526";"594";"243";"132";"429";"360";"166";".";"165";"197";".";".";".";".";".";"."
"Travel to/from work, (non)-daily commute";"Bus/metro";"0.02";"0.02";"0.01";"0.01";"0.05";"0.05";"0.02";"0.02";"0.02";"0.02";"0.01";"0.01";"0.01";"0.01";".";".";"0.01";".";".";".";".";".";".";".";"0.32";"0.31";"0.14";"0.13";"0.65";"0.57";"0.27";"0.22";"0.33";"0.31";"0.14";"0.10";"0.19";"0.23";".";".";"0.13";".";".";".";".";".";".";".";"8";"8";"4";"3";"18";"17";"9";"7";"7";"6";"3";"3";"4";"5";".";".";"2";".";".";".";".";".";".";".";"117";"115";"52";"47";"236";"209";"97";"81";"120";"115";"53";"38";"68";"83";".";".";"49";".";".";".";".";".";".";"."
"Travel to/from work, (non)-daily commute";"Bike";"0.14";"0.13";"0.10";"0.10";"0.18";"0.15";"0.10";"0.10";"0.14";"0.14";"0.10";"0.10";"0.13";"0.13";"0.11";"0.10";"0.12";"0.12";"0.09";"0.09";"0.12";"0.10";"0.09";"0.10";"0.68";"0.65";"0.44";"0.45";"0.91";"0.79";"0.47";"0.49";"0.67";"0.68";"0.42";"0.44";"0.61";"0.62";"0.47";"0.44";"0.52";"0.56";"0.41";"0.41";"0.56";"0.41";"0.46";"0.46";"52";"49";"36";"37";"64";"56";"36";"38";"53";"50";"36";"37";"48";"48";"42";"38";"45";"44";"32";"34";"43";"37";"35";"36";"247";"237";"160";"163";"333";"288";"170";"180";"245";"247";"152";"159";"222";"226";"172";"160";"190";"205";"150";"149";"204";"150";"167";"166"
"Travel to/from work, (non)-daily commute";"Walking";"0.02";"0.02";"0.02";"0.02";"0.03";"0.03";"0.02";"0.02";"0.02";"0.02";"0.02";"0.02";"0.02";"0.02";"0.01";"0.02";"0.02";"0.02";"0.02";"0.02";".";".";".";".";"0.06";"0.06";"0.03";"0.03";"0.11";"0.10";"0.05";"0.05";"0.06";"0.07";"0.03";"0.03";"0.04";"0.05";"0.02";"0.02";"0.03";"0.03";"0.02";"0.02";".";".";".";".";"9";"8";"6";"7";"12";"10";"7";"8";"9";"7";"7";"7";"7";"6";"5";"6";"7";"6";"6";"7";".";".";".";".";"22";"22";"11";"11";"41";"37";"20";"17";"23";"24";"11";"11";"16";"17";"8";"7";"10";"10";"6";"7";".";".";".";"."
"Professionally";"Total";"0.07";"0.11";"0.07";"0.08";"0.06";"0.09";"0.05";"0.06";"0.07";"0.10";"0.07";"0.07";"0.06";"0.11";"0.07";"0.09";"0.08";"0.12";"0.09";"0.09";"0.08";"0.13";"0.11";"0.10";"2.20";"3.27";"1.85";"1.93";"1.75";"2.57";"1.25";"1.16";"2.27";"3.14";"1.73";"1.96";"1.99";"3.34";"2.07";"2.17";"2.59";"3.90";"2.16";"2.32";"2.57";"4.12";"2.99";"2.89";"25";"39";"26";"28";"23";"34";"18";"20";"25";"37";"24";"27";"23";"38";"26";"32";"28";"45";"34";"32";"29";"48";"39";"36";"802";"1195";"677";"705";"640";"937";"456";"423";"830";"1147";"632";"715";"726";"1219";"759";"791";"947";"1423";"792";"848";"937";"1504";"1096";"1053"
"Professionally";"Passenger car (driver)";"0.04";"0.06";"0.04";"0.04";"0.03";"0.04";"0.02";"0.03";"0.04";"0.06";"0.03";"0.04";"0.04";"0.06";"0.04";"0.05";"0.04";"0.07";"0.05";"0.05";"0.05";"0.08";"0.06";"0.05";"1.40";"2.15";"1.17";"1.18";"1.05";"1.41";"0.77";"0.66";"1.61";"2.24";"1.13";"1.20";"1.16";"2.27";"1.15";"1.52";"1.61";"2.50";"1.39";"1.29";"1.56";"2.91";"2.09";"1.87";"14";"21";"14";"15";"11";"14";"9";"9";"15";"21";"13";"15";"13";"23";"14";"19";"15";"27";"19";"17";"17";"28";"24";"17";"510";"786";"429";"430";"382";"516";"280";"240";"587";"817";"415";"439";"423";"829";"421";"555";"587";"913";"508";"472";"570";"1062";"765";"681"
"Professionally";"Passenger car (passenger)";"0.00";"0.00";"0.00";"0.00";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"0.08";"0.16";"0.06";"0.09";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"1";"1";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"27";"57";"23";"33";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
